trait	uri	shortForm	trait_label_guess	trait_id_guess
"celiac disease"	"http://www.ebi.ac.uk/efo/EFO_0001060"	"EFO_0001060"	"celiac disease"	"EFO_0001060"
"endometriosis"	"http://www.ebi.ac.uk/efo/EFO_0001065"	"EFO_0001065"	"endometriosis"	"EFO_0001065"
"malaria"	"http://www.ebi.ac.uk/efo/EFO_0001068"	"EFO_0001068"	"malaria"	"EFO_0001068"
"lung carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0001071"	"EFO_0001071"	"lung carcinoma"	"EFO_0001071"
"MHPG measurement"	"http://www.ebi.ac.uk/efo/EFO_0005133"	"EFO_0005133"	"MHPG measurement"	"EFO_0005133"
"thyroxine amount"	"http://purl.obolibrary.org/obo/OBA_1001010"	"OBA_1001010"	"thyroxine amount"	"OBA_1001010"
"antioxidant measurement"	"http://www.ebi.ac.uk/efo/EFO_0005119"	"EFO_0005119"	"antioxidant measurement"	"EFO_0005119"
"arm span"	"http://www.ebi.ac.uk/efo/EFO_0005108"	"EFO_0005108"	"arm span"	"EFO_0005108"
"CCL5 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005117"	"EFO_0005117"	"CCL5 measurement"	"EFO_0005117"
"energy expenditure"	"http://www.ebi.ac.uk/efo/EFO_0005109"	"EFO_0005109"	"energy expenditure"	"EFO_0005109"
"fatty acid amount"	"http://purl.obolibrary.org/obo/OBA_VT0010046"	"OBA_VT0010046"	"fatty acid amount"	"OBA_VT0010046"
"folic acid amount"	"http://purl.obolibrary.org/obo/OBA_1001015"	"OBA_1001015"	"folic acid amount"	"OBA_1001015"
"gestational age"	"http://www.ebi.ac.uk/efo/EFO_0005112"	"EFO_0005112"	"gestational age"	"EFO_0005112"
"head circumference"	"http://purl.obolibrary.org/obo/OBA_VT0000047"	"OBA_VT0000047"	"head circumference"	"OBA_VT0000047"
"IGFBP-1 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005118"	"EFO_0005118"	"IGFBP-1 measurement"	"EFO_0005118"
"metabolic rate measurement"	"http://www.ebi.ac.uk/efo/EFO_0005115"	"EFO_0005115"	"metabolic rate measurement"	"EFO_0005115"
"urinary metabolite measurement"	"http://www.ebi.ac.uk/efo/EFO_0005116"	"EFO_0005116"	"urinary metabolite measurement"	"EFO_0005116"
"amino acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0005134"	"EFO_0005134"	"amino acid measurement"	"EFO_0005134"
"body composition measurement"	"http://www.ebi.ac.uk/efo/EFO_0005106"	"EFO_0005106"	"body composition measurement"	"EFO_0005106"
"energy intake"	"http://www.ebi.ac.uk/efo/EFO_0003939"	"EFO_0003939"	"energy intake"	"EFO_0003939"
"physical activity"	"http://www.ebi.ac.uk/efo/EFO_0003940"	"EFO_0003940"	"physical activity"	"EFO_0003940"
"response to perphenazine"	"http://purl.obolibrary.org/obo/GO_0097334"	"GO_0097334"	"response to perphenazine"	"GO_0097334"
"cardiac troponin T measurement"	"http://www.ebi.ac.uk/efo/EFO_0005043"	"EFO_0005043"	"cardiac troponin T measurement"	"EFO_0005043"
"cataract"	"http://purl.obolibrary.org/obo/MONDO_0005129"	"MONDO_0005129"	"cataract"	"MONDO_0005129"
"Mental deterioration"	"http://purl.obolibrary.org/obo/HP_0001268"	"HP_0001268"	"Mental deterioration"	"HP_0001268"
"hypertrophic cardiomyopathy"	"http://www.ebi.ac.uk/efo/EFO_0000538"	"EFO_0000538"	"hypertrophic cardiomyopathy"	"EFO_0000538"
"lean body mass"	"http://www.ebi.ac.uk/efo/EFO_0004995"	"EFO_0004995"	"lean body mass"	"EFO_0004995"
"lipoprotein measurement"	"http://www.ebi.ac.uk/efo/EFO_0004732"	"EFO_0004732"	"lipoprotein measurement"	"EFO_0004732"
"otitis media"	"http://www.ebi.ac.uk/efo/EFO_0004992"	"EFO_0004992"	"otitis media"	"EFO_0004992"
"pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0000278"	"EFO_0000278"	"pancreatitis"	"EFO_0000278"
"platelet reactivity efficacy"	"http://purl.obolibrary.org/obo/OBA_2045287"	"OBA_2045287"	"platelet reactivity efficacy"	"OBA_2045287"
"response to methotrexate"	"http://purl.obolibrary.org/obo/GO_0031427"	"GO_0031427"	"response to methotrexate"	"GO_0031427"
"response to tamsulosin"	"http://purl.obolibrary.org/obo/GO_1901905"	"GO_1901905"	"response to tamsulosin"	"GO_1901905"
"response to temozolomide"	"http://purl.obolibrary.org/obo/GO_1990054"	"GO_1990054"	"response to temozolomide"	"GO_1990054"
"serum IgM amount"	"http://purl.obolibrary.org/obo/OBA_2050070"	"OBA_2050070"	"serum IgM amount"	"OBA_2050070"
"visceral Leishmaniasis"	"http://www.ebi.ac.uk/efo/EFO_0005045"	"EFO_0005045"	"visceral Leishmaniasis"	"EFO_0005045"
"response to isoquinoline alkaloid"	"http://purl.obolibrary.org/obo/GO_0014072"	"GO_0014072"	"response to isoquinoline alkaloid"	"GO_0014072"
"erythrocyte attribute"	"http://purl.obolibrary.org/obo/OBA_2045276"	"OBA_2045276"	"erythrocyte attribute"	"OBA_2045276"
"response to quetiapine"	"http://purl.obolibrary.org/obo/GO_0097335"	"GO_0097335"	"response to quetiapine"	"GO_0097335"
"response to risperidone"	"http://purl.obolibrary.org/obo/GO_0097336"	"GO_0097336"	"response to risperidone"	"GO_0097336"
"response to ziprasidone"	"http://purl.obolibrary.org/obo/GO_0097337"	"GO_0097337"	"response to ziprasidone"	"GO_0097337"
"suicidal ideation"	"http://www.ebi.ac.uk/efo/EFO_0004320"	"EFO_0004320"	"suicidal ideation"	"EFO_0004320"
"von Willebrand factor quality"	"http://purl.obolibrary.org/obo/OBA_1000199"	"OBA_1000199"	"von Willebrand factor quality"	"OBA_1000199"
"Sneeze"	"http://purl.obolibrary.org/obo/HP_0025095"	"HP_0025095"	"Sneeze"	"HP_0025095"
"braces"	"http://www.ebi.ac.uk/efo/EFO_0004291"	"EFO_0004291"	"braces"	"EFO_0004291"
"left atrial function"	"http://www.ebi.ac.uk/efo/EFO_0004294"	"EFO_0004294"	"left atrial function"	"EFO_0004294"
"left ventricular function"	"http://www.ebi.ac.uk/efo/EFO_0004295"	"EFO_0004295"	"left ventricular function"	"EFO_0004295"
"thyroid function"	"http://www.ebi.ac.uk/efo/EFO_0004296"	"EFO_0004296"	"thyroid function"	"EFO_0004296"
"cardiovascular measurement"	"http://www.ebi.ac.uk/efo/EFO_0004298"	"EFO_0004298"	"cardiovascular measurement"	"EFO_0004298"
"life span trait"	"http://purl.obolibrary.org/obo/OBA_VT0005372"	"OBA_VT0005372"	"life span trait"	"OBA_VT0005372"
"blood viscosity trait"	"http://purl.obolibrary.org/obo/OBA_VT3000004"	"OBA_VT3000004"	"blood viscosity trait"	"OBA_VT3000004"
"anthropometric measurement"	"http://www.ebi.ac.uk/efo/EFO_0004302"	"EFO_0004302"	"anthropometric measurement"	"EFO_0004302"
"blood sedimentation trait"	"http://purl.obolibrary.org/obo/OBA_2045235"	"OBA_2045235"	"blood sedimentation trait"	"OBA_2045235"
"erythrocyte count"	"http://www.ebi.ac.uk/efo/EFO_0004305"	"EFO_0004305"	"erythrocyte count"	"EFO_0004305"
"erythrocyte indices"	"http://www.ebi.ac.uk/efo/EFO_0004306"	"EFO_0004306"	"erythrocyte indices"	"EFO_0004306"
"cortisol measurement"	"http://www.ebi.ac.uk/efo/EFO_0005843"	"EFO_0005843"	"cortisol measurement"	"EFO_0005843"
"response to dietary antigen"	"http://www.ebi.ac.uk/efo/EFO_0005844"	"EFO_0005844"	"response to dietary antigen"	"EFO_0005844"
"hemoglobin A2 measurement"	"http://www.ebi.ac.uk/efo/EFO_0005845"	"EFO_0005845"	"hemoglobin A2 measurement"	"EFO_0005845"
"cryoglobulinemia"	"http://www.ebi.ac.uk/efo/EFO_0005846"	"EFO_0005846"	"cryoglobulinemia"	"EFO_0005846"
"serum lipase activity amount"	"http://purl.obolibrary.org/obo/OBA_2050069"	"OBA_2050069"	"serum lipase activity amount"	"OBA_2050069"
"emphysema pattern measurement"	"http://www.ebi.ac.uk/efo/EFO_0005850"	"EFO_0005850"	"emphysema pattern measurement"	"EFO_0005850"
"height-adjusted body mass index"	"http://www.ebi.ac.uk/efo/EFO_0005851"	"EFO_0005851"	"height-adjusted body mass index"	"EFO_0005851"
"transverse gyrus of Heschl morphology trait"	"http://purl.obolibrary.org/obo/OBA_VT0000803"	"OBA_VT0000803"	"transverse gyrus of Heschl morphology trait"	"OBA_VT0000803"
"trait in response to silicon dioxide"	"http://purl.obolibrary.org/obo/OBA_2040029"	"OBA_2040029"	"trait in response to silicon dioxide"	"OBA_2040029"
"allergic rhinitis"	"http://www.ebi.ac.uk/efo/EFO_0005854"	"EFO_0005854"	"allergic rhinitis"	"EFO_0005854"
"osteoarthritis biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0005890"	"EFO_0005890"	"osteoarthritis biomarker measurement"	"EFO_0005890"
"sensory perception of sound"	"http://purl.obolibrary.org/obo/GO_0007605"	"GO_0007605"	"sensory perception of sound"	"GO_0007605"
"visual perception"	"http://purl.obolibrary.org/obo/GO_0007601"	"GO_0007601"	"visual perception"	"GO_0007601"
"ossification of the posterior longitudinal ligament of the spine"	"http://www.ebi.ac.uk/efo/EFO_0005895"	"EFO_0005895"	"ossification of the posterior longitudinal ligament of the spine"	"EFO_0005895"
"generalised epilepsy"	"http://www.ebi.ac.uk/efo/EFO_0005917"	"EFO_0005917"	"generalised epilepsy"	"EFO_0005917"
"tumor necrosis factor receptor superfamily member 11B amount"	"http://purl.obolibrary.org/obo/OBA_2050271"	"OBA_2050271"	"tumor necrosis factor receptor superfamily member 11B amount"	"OBA_2050271"
"recombination measurement"	"http://www.ebi.ac.uk/efo/EFO_0005919"	"EFO_0005919"	"recombination measurement"	"EFO_0005919"
"FEV change measurement"	"http://www.ebi.ac.uk/efo/EFO_0005921"	"EFO_0005921"	"FEV change measurement"	"EFO_0005921"
"esophageal squamous cell carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0005922"	"EFO_0005922"	"esophageal squamous cell carcinoma"	"EFO_0005922"
"binge eating"	"http://www.ebi.ac.uk/efo/EFO_0005924"	"EFO_0005924"	"binge eating"	"EFO_0005924"
"overweight body mass index status"	"http://www.ebi.ac.uk/efo/EFO_0005935"	"EFO_0005935"	"overweight body mass index status"	"EFO_0005935"
"underweight body mass index status"	"http://www.ebi.ac.uk/efo/EFO_0005936"	"EFO_0005936"	"underweight body mass index status"	"EFO_0005936"
"longitudinal BMI measurement"	"http://www.ebi.ac.uk/efo/EFO_0005937"	"EFO_0005937"	"longitudinal BMI measurement"	"EFO_0005937"
"congenital left-sided heart lesions"	"http://www.ebi.ac.uk/efo/EFO_0005938"	"EFO_0005938"	"congenital left-sided heart lesions"	"EFO_0005938"
"parental genotype effect measurement"	"http://www.ebi.ac.uk/efo/EFO_0005939"	"EFO_0005939"	"parental genotype effect measurement"	"EFO_0005939"
"psychotic symptoms"	"http://www.ebi.ac.uk/efo/EFO_0005940"	"EFO_0005940"	"psychotic symptoms"	"EFO_0005940"
"mammographic density measurement"	"http://www.ebi.ac.uk/efo/EFO_0005941"	"EFO_0005941"	"mammographic density measurement"	"EFO_0005941"
"chemotherapy-induced hypertension"	"http://www.ebi.ac.uk/efo/EFO_0005942"	"EFO_0005942"	"chemotherapy-induced hypertension"	"EFO_0005942"
"response to bevacizumab"	"http://www.ebi.ac.uk/efo/EFO_0005943"	"EFO_0005943"	"response to bevacizumab"	"EFO_0005943"
"cumulative dose response to bevacizumab"	"http://www.ebi.ac.uk/efo/EFO_0005944"	"EFO_0005944"	"cumulative dose response to bevacizumab"	"EFO_0005944"
"reading"	"http://www.ebi.ac.uk/efo/EFO_0005229"	"EFO_0005229"	"reading"	"EFO_0005229"
"blood immunoglobulin amount"	"http://purl.obolibrary.org/obo/OBA_VT0002460"	"OBA_VT0002460"	"blood immunoglobulin amount"	"OBA_VT0002460"
"sexual dimorphism"	"http://www.ebi.ac.uk/efo/EFO_0005951"	"EFO_0005951"	"sexual dimorphism"	"EFO_0005951"
"sum of skinfolds"	"http://www.ebi.ac.uk/efo/EFO_0006266"	"EFO_0006266"	"sum of skinfolds"	"EFO_0006266"
"neonate"	"http://www.ebi.ac.uk/efo/EFO_0001372"	"EFO_0001372"	"neonate"	"EFO_0001372"
"plasma plasminogen measurement"	"http://www.ebi.ac.uk/efo/EFO_0006309"	"EFO_0006309"	"plasma plasminogen measurement"	"EFO_0006309"
"birth rate"	"http://www.ebi.ac.uk/efo/EFO_0004804"	"EFO_0004804"	"birth rate"	"EFO_0004804"
"family size"	"http://www.ebi.ac.uk/efo/EFO_0004802"	"EFO_0004802"	"family size"	"EFO_0004802"
"hypospadias"	"http://www.ebi.ac.uk/efo/EFO_0004209"	"EFO_0004209"	"hypospadias"	"EFO_0004209"
"hypermetropia"	"http://purl.obolibrary.org/obo/HP_0000540"	"HP_0000540"	"hypermetropia"	"HP_0000540"
"age-related cataract"	"http://purl.obolibrary.org/obo/HP_0011141"	"HP_0011141"	"age-related cataract"	"HP_0011141"
"mitochondrial DNA measurement"	"http://www.ebi.ac.uk/efo/EFO_0006312"	"EFO_0006312"	"mitochondrial DNA measurement"	"EFO_0006312"
"trait in response to melphalan"	"http://purl.obolibrary.org/obo/OBA_2040028"	"OBA_2040028"	"trait in response to melphalan"	"OBA_2040028"
"chemotherapy-induced oral mucositis"	"http://www.ebi.ac.uk/efo/EFO_0006313"	"EFO_0006313"	"chemotherapy-induced oral mucositis"	"EFO_0006313"
"thiopurine immunosuppressant-induced pancreatitis"	"http://www.ebi.ac.uk/efo/EFO_0006315"	"EFO_0006315"	"thiopurine immunosuppressant-induced pancreatitis"	"EFO_0006315"
"infant expressive language ability"	"http://www.ebi.ac.uk/efo/EFO_0006316"	"EFO_0006316"	"infant expressive language ability"	"EFO_0006316"
"trait in response to thiopurine"	"http://purl.obolibrary.org/obo/OBA_2040051"	"OBA_2040051"	"trait in response to thiopurine"	"OBA_2040051"
"HIV viral set point measurement"	"http://www.ebi.ac.uk/efo/EFO_0006319"	"EFO_0006319"	"HIV viral set point measurement"	"EFO_0006319"
"susceptibility to viral and mycobacterial infections"	"http://www.orpha.net/ORDO/Orphanet_391311"	"Orphanet_391311"	"susceptibility to viral and mycobacterial infections"	"Orphanet_391311"
"antidepressant-induced side effect"	"http://www.ebi.ac.uk/efo/EFO_0006320"	"EFO_0006320"	"antidepressant-induced side effect"	"EFO_0006320"
"antidepressant-induced dizziness"	"http://www.ebi.ac.uk/efo/EFO_0006321"	"EFO_0006321"	"antidepressant-induced dizziness"	"EFO_0006321"
"antidepressant-induced sexual dysfunction"	"http://www.ebi.ac.uk/efo/EFO_0006322"	"EFO_0006322"	"antidepressant-induced sexual dysfunction"	"EFO_0006322"
"antidepressant-induced visual impairment"	"http://www.ebi.ac.uk/efo/EFO_0006323"	"EFO_0006323"	"antidepressant-induced visual impairment"	"EFO_0006323"
"antidepressant-induced hearing impairment"	"http://www.ebi.ac.uk/efo/EFO_0006324"	"EFO_0006324"	"antidepressant-induced hearing impairment"	"EFO_0006324"
"trait in response to bupropion"	"http://purl.obolibrary.org/obo/OBA_2040033"	"OBA_2040033"	"trait in response to bupropion"	"OBA_2040033"
"trait in response to buspirone"	"http://purl.obolibrary.org/obo/OBA_2040034"	"OBA_2040034"	"trait in response to buspirone"	"OBA_2040034"
"trait in response to citalopram"	"http://purl.obolibrary.org/obo/OBA_2040057"	"OBA_2040057"	"trait in response to citalopram"	"OBA_2040057"
"response to sertraline"	"http://www.ebi.ac.uk/efo/EFO_0006327"	"EFO_0006327"	"response to sertraline"	"EFO_0006327"
"trait in response to venlafaxine"	"http://purl.obolibrary.org/obo/OBA_2040141"	"OBA_2040141"	"trait in response to venlafaxine"	"OBA_2040141"
"selenium amount"	"http://purl.obolibrary.org/obo/OBA_VT0001775"	"OBA_VT0001775"	"selenium amount"	"OBA_VT0001775"
"serum iron amount"	"http://purl.obolibrary.org/obo/OBA_2050055"	"OBA_2050055"	"serum iron amount"	"OBA_2050055"
"transferrin saturation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006333"	"EFO_0006333"	"transferrin saturation measurement"	"EFO_0006333"
"total iron binding capacity"	"http://www.ebi.ac.uk/efo/EFO_0006334"	"EFO_0006334"	"total iron binding capacity"	"EFO_0006334"
"systolic blood pressure"	"http://www.ebi.ac.uk/efo/EFO_0006335"	"EFO_0006335"	"systolic blood pressure"	"EFO_0006335"
"diastolic blood pressure"	"http://www.ebi.ac.uk/efo/EFO_0006336"	"EFO_0006336"	"diastolic blood pressure"	"EFO_0006336"
"trait in response to allopurinol"	"http://purl.obolibrary.org/obo/OBA_2040067"	"OBA_2040067"	"trait in response to allopurinol"	"OBA_2040067"
"smooth surface dental caries"	"http://www.ebi.ac.uk/efo/EFO_0006339"	"EFO_0006339"	"smooth surface dental caries"	"EFO_0006339"
"pit and fissure surface dental caries"	"http://www.ebi.ac.uk/efo/EFO_0006338"	"EFO_0006338"	"pit and fissure surface dental caries"	"EFO_0006338"
"mean arterial pressure"	"http://www.ebi.ac.uk/efo/EFO_0006340"	"EFO_0006340"	"mean arterial pressure"	"EFO_0006340"
"transferrin measurement"	"http://www.ebi.ac.uk/efo/EFO_0006341"	"EFO_0006341"	"transferrin measurement"	"EFO_0006341"
"inflammatory biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0004872"	"EFO_0004872"	"inflammatory biomarker measurement"	"EFO_0004872"
"chronic bronchitis"	"http://www.ebi.ac.uk/efo/EFO_0006505"	"EFO_0006505"	"chronic bronchitis"	"EFO_0006505"
"gastritis"	"http://www.ebi.ac.uk/efo/EFO_0000217"	"EFO_0000217"	"gastritis"	"EFO_0000217"
"aggressive periodontitis"	"http://www.ebi.ac.uk/efo/EFO_0006342"	"EFO_0006342"	"aggressive periodontitis"	"EFO_0006342"
"medication adherence behavior"	"http://www.ebi.ac.uk/efo/EFO_0006344"	"EFO_0006344"	"medication adherence behavior"	"EFO_0006344"
"trait in response to phenytoin"	"http://purl.obolibrary.org/obo/OBA_2040130"	"OBA_2040130"	"trait in response to phenytoin"	"OBA_2040130"
"severe cutaneous adverse reaction"	"http://www.ebi.ac.uk/efo/EFO_0006346"	"EFO_0006346"	"severe cutaneous adverse reaction"	"EFO_0006346"
"pulmonary artery enlargement"	"http://www.ebi.ac.uk/efo/EFO_0006347"	"EFO_0006347"	"pulmonary artery enlargement"	"EFO_0006347"
"laryngeal squamous cell carcinoma"	"http://www.ebi.ac.uk/efo/EFO_0006352"	"EFO_0006352"	"laryngeal squamous cell carcinoma"	"EFO_0006352"
"carotid plaque build"	"http://www.ebi.ac.uk/efo/EFO_0006501"	"EFO_0006501"	"carotid plaque build"	"EFO_0006501"
"mammographic density percentage"	"http://www.ebi.ac.uk/efo/EFO_0006502"	"EFO_0006502"	"mammographic density percentage"	"EFO_0006502"
"dense area measurement"	"http://www.ebi.ac.uk/efo/EFO_0006503"	"EFO_0006503"	"dense area measurement"	"EFO_0006503"
"non-dense area measurement"	"http://www.ebi.ac.uk/efo/EFO_0006504"	"EFO_0006504"	"non-dense area measurement"	"EFO_0006504"
"hepatic lipid content measurement"	"http://www.ebi.ac.uk/efo/EFO_0006506"	"EFO_0006506"	"hepatic lipid content measurement"	"EFO_0006506"
"angiographic measurement"	"http://www.ebi.ac.uk/efo/EFO_0006512"	"EFO_0006512"	"angiographic measurement"	"EFO_0006512"
"Kashin-Beck disease"	"http://www.ebi.ac.uk/efo/EFO_0006511"	"EFO_0006511"	"Kashin-Beck disease"	"EFO_0006511"
"Herpes Zoster"	"http://www.ebi.ac.uk/efo/EFO_0006510"	"EFO_0006510"	"Herpes Zoster"	"EFO_0006510"
"cotinine glucuronidation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006508"	"EFO_0006508"	"cotinine glucuronidation measurement"	"EFO_0006508"
"nicotine glucuronidation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006507"	"EFO_0006507"	"nicotine glucuronidation measurement"	"EFO_0006507"
"hereditary hemochromatosis type 1"	"http://www.ebi.ac.uk/efo/EFO_0006513"	"EFO_0006513"	"hereditary hemochromatosis type 1"	"EFO_0006513"
"Alzheimer's disease biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0006514"	"EFO_0006514"	"Alzheimer's disease biomarker measurement"	"EFO_0006514"
"angiotensin-converting enzyme measurement"	"http://www.ebi.ac.uk/efo/EFO_0006515"	"EFO_0006515"	"angiotensin-converting enzyme measurement"	"EFO_0006515"
"superior frontal gyrus grey matter volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0006516"	"EFO_0006516"	"superior frontal gyrus grey matter volume measurement"	"EFO_0006516"
"interferon alpha measurement"	"http://www.ebi.ac.uk/efo/EFO_0006517"	"EFO_0006517"	"interferon alpha measurement"	"EFO_0006517"
"trait in response to losartan"	"http://purl.obolibrary.org/obo/OBA_2040108"	"OBA_2040108"	"trait in response to losartan"	"OBA_2040108"
"MMR-related febrile seizures"	"http://www.ebi.ac.uk/efo/EFO_0006519"	"EFO_0006519"	"MMR-related febrile seizures"	"EFO_0006519"
"Febrile seizure (within the age range of 3 months to 6 years)"	"http://purl.obolibrary.org/obo/HP_0002373"	"HP_0002373"	"Febrile seizure (within the age range of 3 months to 6 years)"	"HP_0002373"
"hypokalemia"	"http://purl.obolibrary.org/obo/HP_0002900"	"HP_0002900"	"hypokalemia"	"HP_0002900"
"carbon monoxide exhalation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006520"	"EFO_0006520"	"carbon monoxide exhalation measurement"	"EFO_0006520"
"calcium intake measurement"	"http://www.ebi.ac.uk/efo/EFO_0006521"	"EFO_0006521"	"calcium intake measurement"	"EFO_0006521"
"L-arginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006524"	"EFO_0006524"	"L-arginine measurement"	"EFO_0006524"
"asymmetrical dimethylarginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006522"	"EFO_0006522"	"asymmetrical dimethylarginine measurement"	"EFO_0006522"
"symmetrical dimethylarginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006523"	"EFO_0006523"	"symmetrical dimethylarginine measurement"	"EFO_0006523"
"cigarettes per day measurement"	"http://www.ebi.ac.uk/efo/EFO_0006525"	"EFO_0006525"	"cigarettes per day measurement"	"EFO_0006525"
"pack-years measurement"	"http://www.ebi.ac.uk/efo/EFO_0006526"	"EFO_0006526"	"pack-years measurement"	"EFO_0006526"
"smoking status measurement"	"http://www.ebi.ac.uk/efo/EFO_0006527"	"EFO_0006527"	"smoking status measurement"	"EFO_0006527"
"drug-induced agranulocytosis"	"http://purl.obolibrary.org/obo/HP_0012235"	"HP_0012235"	"drug-induced agranulocytosis"	"HP_0012235"
"coffee consumption measurement"	"http://www.ebi.ac.uk/efo/EFO_0006781"	"EFO_0006781"	"coffee consumption measurement"	"EFO_0006781"
"cups of coffee per day measurement"	"http://www.ebi.ac.uk/efo/EFO_0006782"	"EFO_0006782"	"cups of coffee per day measurement"	"EFO_0006782"
"psychosocial stress measurement"	"http://www.ebi.ac.uk/efo/EFO_0006783"	"EFO_0006783"	"psychosocial stress measurement"	"EFO_0006783"
"body height at birth"	"http://www.ebi.ac.uk/efo/EFO_0006784"	"EFO_0006784"	"body height at birth"	"EFO_0006784"
"infant body height"	"http://www.ebi.ac.uk/efo/EFO_0006785"	"EFO_0006785"	"infant body height"	"EFO_0006785"
"anxiety disorder"	"http://www.ebi.ac.uk/efo/EFO_0006788"	"EFO_0006788"	"anxiety disorder"	"EFO_0006788"
"typhoid fever"	"http://www.ebi.ac.uk/efo/EFO_0006789"	"EFO_0006789"	"typhoid fever"	"EFO_0006789"
"cerebral amyloid angiopathy"	"http://www.ebi.ac.uk/efo/EFO_0006790"	"EFO_0006790"	"cerebral amyloid angiopathy"	"EFO_0006790"
"vascular brain injury"	"http://www.ebi.ac.uk/efo/EFO_0006791"	"EFO_0006791"	"vascular brain injury"	"EFO_0006791"
"Lewy body dementia"	"http://www.ebi.ac.uk/efo/EFO_0006792"	"EFO_0006792"	"Lewy body dementia"	"EFO_0006792"
"cerebrospinal fluid composition attribute"	"http://purl.obolibrary.org/obo/OBA_2045291"	"OBA_2045291"	"cerebrospinal fluid composition attribute"	"OBA_2045291"
"left inferior lateral ventricle volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0006793"	"EFO_0006793"	"left inferior lateral ventricle volume measurement"	"EFO_0006793"
"serum VEFGR2 concentration amount"	"http://purl.obolibrary.org/obo/OBA_2050080"	"OBA_2050080"	"serum VEFGR2 concentration amount"	"OBA_2050080"
"very long-chain saturated fatty acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006796"	"EFO_0006796"	"very long-chain saturated fatty acid measurement"	"EFO_0006796"
"neurofibrillary tangles measurement"	"http://www.ebi.ac.uk/efo/EFO_0006797"	"EFO_0006797"	"neurofibrillary tangles measurement"	"EFO_0006797"
"neuritic plaque measurement"	"http://www.ebi.ac.uk/efo/EFO_0006798"	"EFO_0006798"	"neuritic plaque measurement"	"EFO_0006798"
"Lewy body dementia measurement"	"http://www.ebi.ac.uk/efo/EFO_0006799"	"EFO_0006799"	"Lewy body dementia measurement"	"EFO_0006799"
"vascular brain injury measurement"	"http://www.ebi.ac.uk/efo/EFO_0006800"	"EFO_0006800"	"vascular brain injury measurement"	"EFO_0006800"
"Alzheimer's disease neuropathologic change"	"http://www.ebi.ac.uk/efo/EFO_0006801"	"EFO_0006801"	"Alzheimer's disease neuropathologic change"	"EFO_0006801"
"senile plaques"	"http://purl.obolibrary.org/obo/HP_0100256"	"HP_0100256"	"senile plaques"	"HP_0100256"
"response to red blood cell transfusion"	"http://www.ebi.ac.uk/efo/EFO_0006802"	"EFO_0006802"	"response to red blood cell transfusion"	"EFO_0006802"
"alloimmunization"	"http://www.ebi.ac.uk/efo/EFO_0006804"	"EFO_0006804"	"alloimmunization"	"EFO_0006804"
"Preserved ratio impaired spirometry"	"http://www.ebi.ac.uk/efo/EFO_0022917"	"EFO_0022917"	"Preserved ratio impaired spirometry"	"EFO_0022917"
"word list delayed recall measurement"	"http://www.ebi.ac.uk/efo/EFO_0006805"	"EFO_0006805"	"word list delayed recall measurement"	"EFO_0006805"
"paragraph delayed recall measurement"	"http://www.ebi.ac.uk/efo/EFO_0006806"	"EFO_0006806"	"paragraph delayed recall measurement"	"EFO_0006806"
"docosapentaenoic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006809"	"EFO_0006809"	"docosapentaenoic acid measurement"	"EFO_0006809"
"linolenic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006811"	"EFO_0006811"	"linolenic acid measurement"	"EFO_0006811"
"oleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006810"	"EFO_0006810"	"oleic acid measurement"	"EFO_0006810"
"arachidonic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006808"	"EFO_0006808"	"arachidonic acid measurement"	"EFO_0006808"
"linoleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006807"	"EFO_0006807"	"linoleic acid measurement"	"EFO_0006807"
"glucose tolerance test"	"http://www.ebi.ac.uk/efo/EFO_0004307"	"EFO_0004307"	"glucose tolerance test"	"EFO_0004307"
"leukocyte quantity"	"http://purl.obolibrary.org/obo/OBA_VT0000217"	"OBA_VT0000217"	"leukocyte quantity"	"OBA_VT0000217"
"platelet count"	"http://www.ebi.ac.uk/efo/EFO_0004309"	"EFO_0004309"	"platelet count"	"EFO_0004309"
"blood coagulation trait"	"http://purl.obolibrary.org/obo/OBA_VT0002551"	"OBA_VT0002551"	"blood coagulation trait"	"OBA_VT0002551"
